document,pages,chars_before,chars_after,reduction_pct,extractions_integrated,duplicate_paragraphs_removed,chart_debris_lines_removed,html_tables_converted,html_tables_removed_empty,br_tables_split,incomplete_tables_repaired,toc_lines_cleaned,bullets_normalized,false_headings_demoted,page_types
en-gl-annual-ifrs-disclosure-checklist-v2-09-2025,203,936774,603998,35.52,0,0,0,295,0,0,0,5,0,0,content:194|cover:1|image_extraction:1|sparse:6|toc:1
ey-assurance-eye-reporting-insights-april-2025,28,100465,96544,3.9,0,27,9,9,0,0,0,0,0,2,boilerplate:1|content:24|cover:1|image_extraction:1|toc:1
ey-ceo-outlook-pulse-survey-global-report-january-2025,16,44272,31635,28.54,0,34,141,1,0,0,1,1,3,0,boilerplate:1|content:9|cover:1|image_extraction:4|toc:1
ey-frd-series-spring-2025,51,75209,65678,12.67,24,390,405,14,0,0,0,4,0,1,boilerplate:1|content:11|cover:1|image_extraction:38
ey-gl-applying-ifrs-a-closer-look-at-ifrs-18-07-2025,129,375777,368671,1.89,12,85,0,46,0,0,0,0,0,0,boilerplate:1|content:114|cover:1|image_extraction:12|toc:1
ey-gl-ceo-outlook-survey-01-2026,18,48014,39088,18.59,7,98,287,2,0,0,0,0,0,13,content:9|cover:1|image_extraction:7|toc:1
ey-gl-ceo-outlook-survey-08-2025,16,39603,41385,-4.5,9,120,119,0,0,0,0,0,0,5,content:9|image_extraction:7
ey-gl-ctools-ifrs-update-04-2025,19,49527,52700,-6.41,1,0,0,1,0,0,0,0,0,0,content:16|cover:1|image_extraction:1|toc:1
ey-gl-ey-csrd-barometer-05-2025,33,81717,75617,7.46,2,21,237,13,0,0,0,0,0,0,content:29|cover:1|image_extraction:2|toc:1
ey-gl-sustainability-deve-10-ed-sasb-ifrs-07-2025,4,10441,10413,0.27,0,0,0,1,0,0,0,0,0,0,content:4
ey-sg-good-group-ifrs-18-12-2025,172,600790,597074,0.62,0,0,0,3,0,0,0,67,0,18,boilerplate:1|content:169|cover:1|toc:1
IAASB-2025-Handbook-Volume-1,1046,3837853,3678385,4.16,0,0,0,780,0,0,0,152,3411,0,content:997|cover:1|sparse:6|toc:42
IAASB-2025-Handbook-Volume-2,130,412582,400924,2.83,1,0,0,102,0,0,0,85,207,0,content:124|cover:1|image_extraction:1|sparse:3|toc:1
IAASB-2025-Handbook-Volume-3,178,683879,670978,1.89,1,4,0,158,0,0,0,6,606,0,content:171|cover:1|image_extraction:1|sparse:3|toc:2
IAASB-2025-Handbook-Volume-4,302,1107558,1071332,3.27,2,13,5,188,0,0,0,35,878,0,content:287|cover:1|image_extraction:2|sparse:3|toc:9
IAASB-2025-Handbook-Volume-5,69,241205,237361,1.59,4,28,11,26,0,0,0,8,285,0,content:60|cover:1|image_extraction:4|sparse:3|toc:1
